stratum_id,stratum_name,sector_id,reef_id,depth_bin,area_km2,island,region
2,DEEP_FFS_SECTOR_FOREREEF,FFS_SECTOR,FOREREEF,DEEP,14.18,FFS,NWHI
6,MID_FFS_SECTOR_FOREREEF,FFS_SECTOR,FOREREEF,MIDD,33.91,FFS,NWHI
10,SHALLOW_FFS_SECTOR_FOREREEF,FFS_SECTOR,FOREREEF,SHAL,7.14,FFS,NWHI
9,SHALLOW_FFS_SECTOR_BACKREEF,FFS_SECTOR,BACKREEF,SHAL,10.62,FFS,NWHI
11,SHALLOW_FFS_SECTOR_LAGOON,FFS_SECTOR,LAGOON,SHAL,17.53,FFS,NWHI
4,DEEP_FFS_SECTOR_PROTECTED SLOPE,FFS_SECTOR,PROTECTED SLOPE,DEEP,191.18,FFS,NWHI
8,MID_FFS_SECTOR_PROTECTED SLOPE,FFS_SECTOR,PROTECTED SLOPE,MIDD,25.5,FFS,NWHI
7,MID_FFS_SECTOR_LAGOON,FFS_SECTOR,LAGOON,MIDD,115.65,FFS,NWHI
12,SHALLOW_FFS_SECTOR_PROTECTED SLOPE,FFS_SECTOR,PROTECTED SLOPE,SHAL,0.02,FFS,NWHI
3,DEEP_FFS_SECTOR_LAGOON,FFS_SECTOR,LAGOON,DEEP,1.12,FFS,NWHI
5,MID_FFS_SECTOR_BACKREEF,FFS_SECTOR,BACKREEF,MIDD,0.96,FFS,NWHI
1,DEEP_FFS_SECTOR_BACKREEF,FFS_SECTOR,BACKREEF,DEEP,0.01,FFS,NWHI
3,MID_KUR_SECTOR_FOREREEF,KUR_SECTOR,FOREREEF,MIDD,10.39,KUR,NWHI
1,DEEP_KUR_SECTOR_FOREREEF,KUR_SECTOR,FOREREEF,DEEP,3.93,KUR,NWHI
6,SHALLOW_KUR_SECTOR_FOREREEF,KUR_SECTOR,FOREREEF,SHAL,2.28,KUR,NWHI
2,MID_KUR_SECTOR_BACKREEF,KUR_SECTOR,BACKREEF,MIDD,0.03,KUR,NWHI
5,SHALLOW_KUR_SECTOR_BACKREEF,KUR_SECTOR,BACKREEF,SHAL,6.06,KUR,NWHI
7,SHALLOW_KUR_SECTOR_LAGOON,KUR_SECTOR,LAGOON,SHAL,5.99,KUR,NWHI
4,MID_KUR_SECTOR_LAGOON,KUR_SECTOR,LAGOON,MIDD,1.43,KUR,NWHI
1,DEEP_LAY_SECTOR_FOREREEF,LAY_SECTOR,FOREREEF,DEEP,83.26,LAY,NWHI
2,MID_LAY_SECTOR_FOREREEF,LAY_SECTOR,FOREREEF,MIDD,6.88,LAY,NWHI
3,SHALLOW_LAY_SECTOR_FOREREEF,LAY_SECTOR,FOREREEF,SHAL,0.81,LAY,NWHI
1,DEEP_LIS_SECTOR_FOREREEF,LIS_SECTOR,FOREREEF,DEEP,203.86,LIS,NWHI
2,MID_LIS_SECTOR_FOREREEF,LIS_SECTOR,FOREREEF,MIDD,74.05,LIS,NWHI
3,SHALLOW_LIS_SECTOR_FOREREEF,LIS_SECTOR,FOREREEF,SHAL,19.42,LIS,NWHI
2,DEEP_MAR_SECTOR_FOREREEF,MAR_SECTOR,FOREREEF,DEEP,444.25,MAR,NWHI
1,DEEP_MAR_SECTOR_BACKREEF,MAR_SECTOR,BACKREEF,DEEP,95.44,MAR,NWHI
4,MID_MAR_SECTOR_FOREREEF,MAR_SECTOR,FOREREEF,MIDD,224.09,MAR,NWHI
7,SHALLOW_MAR_SECTOR_FOREREEF,MAR_SECTOR,FOREREEF,SHAL,6.32,MAR,NWHI
3,MID_MAR_SECTOR_BACKREEF,MAR_SECTOR,BACKREEF,MIDD,18.14,MAR,NWHI
8,SHALLOW_MAR_SECTOR_LAGOON,MAR_SECTOR,LAGOON,SHAL,6.18,MAR,NWHI
5,MID_MAR_SECTOR_LAGOON,MAR_SECTOR,LAGOON,MIDD,12.07,MAR,NWHI
6,SHALLOW_MAR_SECTOR_BACKREEF,MAR_SECTOR,BACKREEF,SHAL,7.75,MAR,NWHI
1,DEEP_MID_SECTOR_FOREREEF,MID_SECTOR,FOREREEF,DEEP,15.2,MID,NWHI
3,MID_MID_SECTOR_FOREREEF,MID_SECTOR,FOREREEF,MIDD,13.27,MID,NWHI
6,SHALLOW_MID_SECTOR_FOREREEF,MID_SECTOR,FOREREEF,SHAL,5.67,MID,NWHI
5,SHALLOW_MID_SECTOR_BACKREEF,MID_SECTOR,BACKREEF,SHAL,4.31,MID,NWHI
7,SHALLOW_MID_SECTOR_LAGOON,MID_SECTOR,LAGOON,SHAL,13.03,MID,NWHI
4,MID_MID_SECTOR_LAGOON,MID_SECTOR,LAGOON,MIDD,1.26,MID,NWHI
2,MID_MID_SECTOR_BACKREEF,MID_SECTOR,BACKREEF,MIDD,0.01,MID,NWHI
1,DEEP_PHR_SECTOR_FOREREEF,PHR_SECTOR,FOREREEF,DEEP,37.68,PHR,NWHI
3,MID_PHR_SECTOR_FOREREEF,PHR_SECTOR,FOREREEF,MIDD,38.06,PHR,NWHI
6,SHALLOW_PHR_SECTOR_FOREREEF,PHR_SECTOR,FOREREEF,SHAL,4.48,PHR,NWHI
5,SHALLOW_PHR_SECTOR_BACKREEF,PHR_SECTOR,BACKREEF,SHAL,20.18,PHR,NWHI
2,MID_PHR_SECTOR_BACKREEF,PHR_SECTOR,BACKREEF,MIDD,0.57,PHR,NWHI
7,SHALLOW_PHR_SECTOR_LAGOON,PHR_SECTOR,LAGOON,SHAL,40.29,PHR,NWHI
4,MID_PHR_SECTOR_LAGOON,PHR_SECTOR,LAGOON,MIDD,82.62,PHR,NWHI
