REGION,ISLAND,ANALYSIS_YEAR,Sector,Stratum,GENUS_CODE,n,Ntot,AdColDen,SE_AdColDen
MARIAN,Aguijan,2014,Aguijan,Aguijan_FMD,ACSP,2,993,0.391666667,0.108224181
MARIAN,Aguijan,2014,Aguijan,Aguijan_FMD,GOSP,2,993,0,0
MARIAN,Aguijan,2014,Aguijan,Aguijan_FMD,LEPT,2,993,1.083333333,0.78254408
MARIAN,Aguijan,2014,Aguijan,Aguijan_FMD,POCS,2,993,1.508333333,1.207115869
MARIAN,Aguijan,2014,Aguijan,Aguijan_FMD,POSP,2,993,5.15,3.646322417
MARIAN,Aguijan,2014,Aguijan,Aguijan_FS,ACSP,3,629,1.6,0.812508204
MARIAN,Aguijan,2014,Aguijan,Aguijan_FS,GOSP,3,629,0,0
MARIAN,Aguijan,2014,Aguijan,Aguijan_FS,LEPT,3,629,0.516666667,0.158610265
MARIAN,Aguijan,2014,Aguijan,Aguijan_FS,POCS,3,629,3.416666667,1.657941923
MARIAN,Aguijan,2014,Aguijan,Aguijan_FS,POSP,3,629,0.35,0.125530142
MARIAN,Aguijan,2017,Aguijan,Aguijan_FD,ACSP,3,477,0.205376344,0.157537504
MARIAN,Aguijan,2017,Aguijan,Aguijan_FD,GOSP,3,477,0.119354839,0.074886138
MARIAN,Aguijan,2017,Aguijan,Aguijan_FD,LEPT,3,477,1.498924731,0.814909629
MARIAN,Aguijan,2017,Aguijan,Aguijan_FD,POCS,3,477,0.531899642,0.467388685
MARIAN,Aguijan,2017,Aguijan,Aguijan_FD,POSP,3,477,2.661648746,0.603859916
MARIAN,Aguijan,2017,Aguijan,Aguijan_FM,ACSP,5,516,0.088,0.043876677
MARIAN,Aguijan,2017,Aguijan,Aguijan_FM,GOSP,5,516,0,0
MARIAN,Aguijan,2017,Aguijan,Aguijan_FM,LEPT,5,516,0.76,0.246988058
MARIAN,Aguijan,2017,Aguijan,Aguijan_FM,POCS,5,516,0.602,0.304786887
MARIAN,Aguijan,2017,Aguijan,Aguijan_FM,POSP,5,516,0.944,0.574203689
MARIAN,Aguijan,2017,Aguijan,Aguijan_FS,ACSP,2,629,1.325,0.474244232
MARIAN,Aguijan,2017,Aguijan,Aguijan_FS,GOSP,2,629,0,0
MARIAN,Aguijan,2017,Aguijan,Aguijan_FS,LEPT,2,629,0.275,0.074880668
MARIAN,Aguijan,2017,Aguijan,Aguijan_FS,POCS,2,629,1.025,0.374403341
MARIAN,Aguijan,2017,Aguijan,Aguijan_FS,POSP,2,629,1.2,1.0982498
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FD,ACSP,5,2658,0.128651685,0.075558162
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FD,GOSP,5,2658,0.056179775,0.05612691
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FD,LEPT,5,2658,0.678651685,0.217141879
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FD,POCS,5,2658,0.151235955,0.137492189
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FD,POSP,5,2658,3.763707865,1.261501215
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FM,ACSP,5,4109,0.02,0.012239995
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FM,GOSP,5,4109,0.06,0.039975656
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FM,LEPT,5,4109,1.711023256,0.915860024
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FM,POCS,5,4109,0.169023256,0.080539057
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FM,POSP,5,4109,3.79227907,0.865281107
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FS,ACSP,3,1686,2.443567251,1.725982277
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FS,GOSP,3,1686,0.033333333,0.033303664
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FS,LEPT,3,1686,1.695906433,1.351231472
MARIAN,Guam,2014,GUA_EAST_OPEN,GUA_EAST_OPEN_FS,POCS,3,1686,1.084502924,0.883715649
